episode,environment_seed,epsilon,episode_reward,episode_cost,holding_cost,stockout_cost,ordering_cost,discarding_cost,steps,states_seen
243,180563930,0.695396896333626,-4215.725,421572.5,170772.5,5900.0,16000.0,228900.0,50,275
244,672195771,0.6943538009891256,-6414.375000000001,641437.5,180787.5,154000.0,16400.0,290250.0,50,276
245,457466455,0.693312270287642,-4146.6,414660.0,162660.0,72400.0,15200.0,164400.0,50,278
246,219319373,0.6922723018822106,-6050.7,605070.0,175570.0,66400.0,16000.0,347100.0,50,279
247,890773926,0.6912338934293872,-5230.299999999999,523030.0,172080.0,36000.0,16800.0,298150.0,50,280
248,458629017,0.6901970425892432,-5268.099999999999,526810.0,157360.0,56800.0,17600.0,295050.0,50,280
249,284445473,0.6891617470253594,-4603.525,460352.5,160452.5,48000.0,14800.0,237100.0,50,282
250,169254977,0.6881280044048214,-5251.675,525167.5,168817.5,45400.0,16000.0,294950.0,50,284
251,470265342,0.6870958123982142,-4424.399999999999,442440.0,155390.0,72800.0,14000.0,200250.0,50,284
252,552502838,0.6860651686796169,-4241.85,424185.0,172485.0,26300.0,15600.0,209800.0,50,284
253,720598314,0.6850360709265975,-6194.650000000001,619465.0,182015.0,38000.0,15600.0,383850.0,50,284
254,319449445,0.6840085168202076,-6503.4749999999985,650347.5,187547.5,65200.0,16400.0,381200.0,50,284
255,270844940,0.6829825040449773,-4942.325,494232.5,172782.5,74400.0,16800.0,230250.0,50,284
256,642611830,0.6819580302889099,-4736.074999999999,473607.5,180107.5,92000.0,13600.0,187900.0,50,284
257,676877297,0.6809350932434766,-4656.675000000001,465667.5,164867.5,46000.0,14400.0,240400.0,50,287
258,13966537,0.6799136906036114,-5469.549999999999,546955.0,166355.0,118800.0,15600.0,246200.0,50,287
259,74418955,0.678893820067706,-3332.7999999999993,333280.0,161730.0,77600.0,15600.0,78350.0,50,287
260,364334867,0.6778754793376045,-4751.950000000001,475195.0,166095.0,76400.0,15200.0,217500.0,50,288
261,251929353,0.6768586661185981,-3435.175,343517.5,151267.5,43100.0,15200.0,133950.0,50,293
262,646793524,0.6758433781194203,-3526.85,352685.0,120635.0,120000.0,16400.0,95650.0,50,301
263,34554948,0.6748296130522412,-4192.65,419265.0,171765.0,54400.0,14800.0,178300.0,50,301
264,778961424,0.6738173686326628,-5199.999999999999,520000.0,166000.0,22100.0,15600.0,316300.0,50,303
